"C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.2,0.725496663911298,0.608858858858859,0.708478513356562,0.0461984696703013,0.101390271695077,0.0933090882277781,"L2_Linear_SVM"
0.3,0.722367140659824,0.565165165165165,0.718002322880372,0.0407765824476497,0.151783904512252,0.112693069521312,"L2_Linear_SVM"
1,0.721984179301252,0.581381381381381,0.718002322880372,0.0417331769517014,0.14919516122539,0.117615963058625,"L2_Linear_SVM"
0.1,0.721211455357797,0.597597597597598,0.732171893147503,0.0265305718040651,0.0634195558016303,0.0535875965895222,"L2_Linear_SVM"
0.12,0.720838434253068,0.597597597597598,0.722415795586527,0.0241429609887598,0.0540957463503057,0.0437452248414276,"L2_Linear_SVM"
0.13,0.720167728704314,0.603003003003003,0.736817653890825,0.0232562518989896,0.081756722287018,0.0505883535525728,"L2_Linear_SVM"
0.14,0.720682529219115,0.592042042042042,0.736817653890825,0.0231350238757134,0.0689947700649428,0.0337927204449331,"L2_Linear_SVM"
0.15,0.720519822958847,0.581231231231231,0.741579558652729,0.0218345410716966,0.0674180862343678,0.042865246991937,"L2_Linear_SVM"
0.16,0.721935524374549,0.586636636636637,0.741811846689896,0.0206042984965323,0.0772500269628747,0.0413222235532292,"L2_Linear_SVM"
0.2,0.721115715018154,0.581231231231231,0.713008130081301,0.0202183822909273,0.0944878801276786,0.0577362535360616,"L2_Linear_SVM"
0.3,0.720242019022507,0.581381381381381,0.717770034843206,0.0200000183619773,0.0895277746268544,0.0677926975494192,"L2_Linear_SVM"
1,0.720370719151207,0.586786786786787,0.713008130081301,0.0198709427432137,0.0913228963783698,0.0767104646090978,"L2_Linear_SVM"
0.1,0.758014547648694,0.625075075075075,0.784552845528455,0.0517847274295376,0.0836600472627916,0.058968115156741,"L2_Linear_SVM"
0.12,0.758945356506332,0.624924924924925,0.770267131242741,0.0515760652572888,0.0728684727356305,0.0837089431896642,"L2_Linear_SVM"
0.13,0.759095070680436,0.63048048048048,0.770267131242741,0.0512862235841339,0.0700503153906245,0.0688448507427049,"L2_Linear_SVM"
0.14,0.760666328349255,0.646846846846847,0.765389082462253,0.052107156143498,0.0625461439917469,0.0803033216673143,"L2_Linear_SVM"
0.15,0.76172008245179,0.630780780780781,0.784552845528455,0.0528926765995765,0.0711044593005299,0.0613244267576698,"L2_Linear_SVM"
0.16,0.762751427385574,0.641591591591592,0.755981416957027,0.0526721203127684,0.0827863987745348,0.0943034718608864,"L2_Linear_SVM"
0.2,0.759854192171265,0.630780780780781,0.784668989547038,0.053233323812678,0.0711044593005299,0.0558871814693303,"L2_Linear_SVM"
0.3,0.757365902487854,0.630780780780781,0.760743321718931,0.0507721319075228,0.0535206835033126,0.0967496057517805,"L2_Linear_SVM"
1,0.756587423660594,0.61966966966967,0.770267131242741,0.0506776818868143,0.0413921781440722,0.0766381127237478,"L2_Linear_SVM"
0.1,0.730995804166536,0.581531531531532,0.75075493612079,0.0607077473269961,0.0727794676056305,0.0979898694352231,"L2_Linear_SVM"
0.12,0.73121292023731,0.613963963963964,0.736353077816493,0.0557301320038086,0.0850445201541292,0.10448686052908,"L2_Linear_SVM"
0.13,0.731355222818637,0.597747747747748,0.731358885017422,0.0556627275275824,0.0677100599600041,0.120083170628404,"L2_Linear_SVM"
0.14,0.730833621077523,0.597747747747748,0.731475029036005,0.0559087740542202,0.0677100599600041,0.113356948886452,"L2_Linear_SVM"
0.15,0.73020372288665,0.603153153153153,0.731475029036005,0.0551267690717542,0.0710870183295501,0.119444679332888,"L2_Linear_SVM"
0.16,0.73009542643689,0.581381381381381,0.745993031358885,0.053442946114054,0.0571596990471357,0.0978910474737173,"L2_Linear_SVM"
0.2,0.731294534953072,0.576276276276276,0.750638792102207,0.0528418823681401,0.0634941649796573,0.115833353385519,"L2_Linear_SVM"
0.3,0.731423235081772,0.576126126126126,0.760278745644599,0.0543713051735899,0.0645811487884265,0.0987628871064447,"L2_Linear_SVM"
1,0.731423235081772,0.565165165165165,0.760278745644599,0.0543713051735899,0.0508475009340097,0.105694566699008,"L2_Linear_SVM"
0.1,0.720035453572039,0.603303303303303,0.727177700348432,0.0143415823004523,0.0842341004104647,0.0499712929902565,"L2_Linear_SVM"
0.12,0.720835818396794,0.592192192192192,0.722415795586527,0.013226988723849,0.0865781962872908,0.0552035464848013,"L2_Linear_SVM"
0.13,0.720971668532644,0.592342342342342,0.722415795586527,0.0136817940766438,0.0812373369228443,0.0709334796032635,"L2_Linear_SVM"
0.14,0.720308461771876,0.581381381381381,0.731939605110337,0.0128911729582049,0.0763141000069967,0.068735772924397,"L2_Linear_SVM"
0.15,0.720038069428313,0.586786786786787,0.722415795586527,0.012435822685967,0.0851127553193703,0.0709334796032635,"L2_Linear_SVM"
0.16,0.720057252374326,0.581381381381381,0.722415795586527,0.0131762621097775,0.0786706549790818,0.0709334796032635,"L2_Linear_SVM"
0.2,0.720712349980643,0.581381381381381,0.722415795586527,0.0142338076570188,0.080958644070893,0.0709334796032635,"L2_Linear_SVM"
0.3,0.720968878285951,0.592192192192192,0.741463414634146,0.0129657191332414,0.0926902063717636,0.0668905357491295,"L2_Linear_SVM"
1,0.721354978672052,0.592192192192192,0.727177700348432,0.0129292838192923,0.0926902063717636,0.0647905116141778,"L2_Linear_SVM"
